	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750
430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34E+05	1.72E+05	2.07E+05	2.35E+05	2.61E+05	2.89E+05	3.12E+05	3.33E+05	3.49E+05	3.64E+05	3.62E+05	3.54E+05	3.46E+05	3.33E+05	3.12E+05	2.97E+05	2.78E+05	2.63E+05	2.43E+05	2.25E+05	2.06E+05	1.88E+05	1.70E+05	1.55E+05	1.39E+05	1.25E+05	1.11E+05	99338	89443	79040	69949	62872	54969	48244	42724	37050	32027	28122	24189	20672	18073	15364	13633	11856	10027	8415	7352	6194	5206	4669	4100	3377	2878	2459	2015	1831	1623	1372	1216	1216	972	886	834
420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94E+05	2.66E+05	3.41E+05	4.10E+05	4.73E+05	5.19E+05	5.63E+05	5.96E+05	6.26E+05	6.43E+05	6.56E+05	6.71E+05	6.51E+05	6.12E+05	5.73E+05	5.37E+05	5.04E+05	4.72E+05	4.38E+05	4.04E+05	3.71E+05	3.41E+05	3.10E+05	2.80E+05	2.51E+05	2.25E+05	2.00E+05	1.79E+05	1.59E+05	1.42E+05	1.25E+05	1.11E+05	96994	86594	74938	66229	58740	50241	43899	38496	32873	28604	24026	21235	18242	15718	13404	11136	9981	8325	7185	6162	5328	4388	3911	3373	2966	2365	2281	1969	1717	1673	1330	1138	1072
410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34E+05	3.44E+05	4.71E+05	6.03E+05	7.23E+05	8.30E+05	9.13E+05	9.79E+05	1.03E+06	1.06E+06	1.08E+06	1.09E+06	1.08E+06	1.06E+06	1.00E+06	9.29E+05	8.61E+05	7.97E+05	7.37E+05	6.81E+05	6.26E+05	5.72E+05	5.20E+05	4.70E+05	4.25E+05	3.81E+05	3.42E+05	3.04E+05	2.70E+05	2.38E+05	2.12E+05	1.88E+05	1.65E+05	1.46E+05	1.28E+05	1.13E+05	99400	86438	75064	66128	56314	48305	43292	36245	31800	27147	23355	20172	17263	14611	12505	10811	9224	7907	7077	5942	5011	4266	3994	3529	2806	2489	2161	1941	1721	1577	1402
400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45E+05	3.82E+05	5.61E+05	7.69E+05	9.84E+05	1.19E+06	1.36E+06	1.50E+06	1.59E+06	1.66E+06	1.71E+06	1.71E+06	1.69E+06	1.66E+06	1.62E+06	1.56E+06	1.46E+06	1.33E+06	1.22E+06	1.11E+06	1.02E+06	9.35E+05	8.52E+05	7.72E+05	7.02E+05	6.29E+05	5.64E+05	5.06E+05	4.50E+05	4.00E+05	3.54E+05	3.12E+05	2.75E+05	2.43E+05	2.13E+05	1.89E+05	1.66E+05	1.46E+05	1.28E+05	1.11E+05	97273	84231	74195	63081	54822	46630	40184	35033	30060	25808	21804	19149	15686	13981	11697	10566	8758	7861	6343	5466	4917	4288	3723	3038	2840	2644	2471	2149	1937
390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04E+05	3.31E+05	5.04E+05	7.30E+05	9.99E+05	1.29E+06	1.58E+06	1.82E+06	2.02E+06	2.16E+06	2.25E+06	2.28E+06	2.27E+06	2.25E+06	2.19E+06	2.11E+06	2.02E+06	1.93E+06	1.78E+06	1.62E+06	1.46E+06	1.32E+06	1.21E+06	1.09E+06	9.88E+05	8.91E+05	8.02E+05	7.19E+05	6.43E+05	5.73E+05	5.09E+05	4.53E+05	3.97E+05	3.51E+05	3.11E+05	2.74E+05	2.40E+05	2.12E+05	1.84E+05	1.64E+05	1.43E+05	1.25E+05	1.09E+05	94432	82076	69991	60235	52646	45282	38472	33439	28624	24523	20826	18373	15459	12781	11484	9865	8373	7233	6459	5352	5108	4010	3725	3120	3010	2656	2596	2567
380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50E+05	2.58E+05	4.11E+05	6.13E+05	8.64E+05	1.17E+06	1.51E+06	1.86E+06	2.17E+06	2.43E+06	2.61E+06	2.71E+06	2.77E+06	2.78E+06	2.74E+06	2.67E+06	2.57E+06	2.45E+06	2.32E+06	2.20E+06	2.01E+06	1.80E+06	1.62E+06	1.46E+06	1.32E+06	1.19E+06	1.07E+06	9.64E+05	8.62E+05	7.76E+05	6.89E+05	6.12E+05	5.44E+05	4.81E+05	4.23E+05	3.75E+05	3.28E+05	2.89E+05	2.54E+05	2.25E+05	1.99E+05	1.74E+05	1.52E+05	1.33E+05	1.16E+05	1.00E+05	85893	75101	64081	55884	47334	41270	36105	30864	26413	22602	19555	16846	14161	12640	10293	9298	8030	6736	5916	5090	4825	4346	3841	3619	3867	4296	12815
370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E+05	1.98E+05	3.18E+05	4.84E+05	6.96E+05	9.54E+05	1.25E+06	1.60E+06	1.97E+06	2.30E+06	2.59E+06	2.81E+06	2.95E+06	3.04E+06	3.05E+06	3.02E+06	2.95E+06	2.84E+06	2.70E+06	2.56E+06	2.40E+06	2.26E+06	2.06E+06	1.83E+06	1.64E+06	1.46E+06	1.32E+06	1.19E+06	1.06E+06	9.52E+05	8.52E+05	7.60E+05	6.73E+05	6.00E+05	5.30E+05	4.66E+05	4.12E+05	3.63E+05	3.18E+05	2.80E+05	2.46E+05	2.17E+05	1.89E+05	1.68E+05	1.46E+05	1.27E+05	1.12E+05	95416	83956	71919	61683	53482	46220	40003	33447	29450	25068	21758	18535	15952	13955	12005	10363	9072	7976	7171	6553	5902	5883	6190	16087	1.29E+05	1.57E+05	30809	11514
360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83E+05	2.64E+05	3.64E+05	4.90E+05	6.52E+05	8.55E+05	1.09E+06	1.37E+06	1.66E+06	1.95E+06	2.24E+06	2.51E+06	2.74E+06	2.90E+06	2.99E+06	3.02E+06	2.98E+06	2.92E+06	2.83E+06	2.69E+06	2.55E+06	2.40E+06	2.24E+06	2.09E+06	1.88E+06	1.67E+06	1.49E+06	1.32E+06	1.19E+06	1.06E+06	9.53E+05	8.52E+05	7.55E+05	6.74E+05	5.97E+05	5.28E+05	4.68E+05	4.12E+05	3.61E+05	3.19E+05	2.78E+05	2.46E+05	2.15E+05	1.91E+05	1.66E+05	1.46E+05	1.28E+05	1.11E+05	97040	84074	72865	62568	53996	46446	40338	34735	30183	25796	22295	19018	16625	14299	12688	10901	9525	8877	9124	9264	18402	1.30E+05	1.75E+05	44675	20378	23179	27283	31527	35985
350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96E+05	4.42E+05	6.14E+05	7.99E+05	9.80E+05	1.16E+06	1.36E+06	1.58E+06	1.78E+06	1.98E+06	2.17E+06	2.36E+06	2.54E+06	2.69E+06	2.79E+06	2.84E+06	2.85E+06	2.81E+06	2.73E+06	2.62E+06	2.49E+06	2.35E+06	2.19E+06	2.04E+06	1.90E+06	1.75E+06	1.57E+06	1.39E+06	1.22E+06	1.09E+06	9.68E+05	8.65E+05	7.71E+05	6.86E+05	6.09E+05	5.41E+05	4.81E+05	4.24E+05	3.73E+05	3.30E+05	2.88E+05	2.53E+05	2.22E+05	1.95E+05	1.71E+05	1.51E+05	1.33E+05	1.15E+05	1.01E+05	88091	76637	66603	57554	49056	43019	37037	31202	27361	24108	20684	18152	15622	13607	11864	10773	10021	17076	1.19E+05	1.77E+05	52372	29013	37820	47138	56876	68014	77732	89384	1.01E+05	1.13E+05
340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E+05	3.05E+05	5.52E+05	8.05E+05	1.07E+06	1.36E+06	1.62E+06	1.83E+06	2.01E+06	2.20E+06	2.36E+06	2.48E+06	2.57E+06	2.64E+06	2.70E+06	2.72E+06	2.70E+06	2.66E+06	2.58E+06	2.48E+06	2.36E+06	2.22E+06	2.08E+06	1.93E+06	1.78E+06	1.63E+06	1.49E+06	1.38E+06	1.22E+06	1.07E+06	9.38E+05	8.29E+05	7.35E+05	6.53E+05	5.82E+05	5.15E+05	4.56E+05	4.04E+05	3.57E+05	3.15E+05	2.78E+05	2.42E+05	2.12E+05	1.87E+05	1.64E+05	1.44E+05	1.26E+05	1.10E+05	97225	85141	74412	64406	56130	48695	42318	36241	31833	27434	24242	20769	18271	16210	13686	12632	17547	1.11E+05	1.57E+05	38092	12594	16028	23422	34851	50992	70262	88316	1.06E+05	1.25E+05	1.41E+05	1.61E+05	1.79E+05	1.96E+05
